Performance Date,Play 1 Title,Author 1 Name,Play 1 Genre,Play 1 # of Acts,Play 1 Date of Premier,Play 1 Box Office Receipts,Play 2 Title,Author 2 Name,Play 2 Genre,Play 2 # of Acts,Play 2 Date of Premier,Play 2 Box Office Receipts,Play 3,Company Director,Day of the Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Julio 1762,*El pleito matrimonial,,auto sacramental,,,4130,Los aguadores de Puerta Cerrada,,Entremés,1,1762,,Sainete: La noche de San Juan - premier,Agueda de la Calle,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Julio 1762,*El pleito matrimonial,,auto sacramental,,,4014,Los aguadores de Puerta Cerrada,,Entremés,1,1762,,Sainete: La noche de San Juan - premier,Agueda de la Calle,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Julio 1762,*El pleito matrimonial,,auto sacramental,,,3371,Los aguadores de Puerta Cerrada,,Entremés,1,1762,,Sainete: La noche de San Juan - premier,Agueda de la Calle,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Julio 1762,*El pleito matrimonial,,auto sacramental,,,2756,Los aguadores de Puerta Cerrada,,Entremés,1,1762,,Sainete: La noche de San Juan - premier,Agueda de la Calle,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 Julio 1762,*El pleito matrimonial,,auto sacramental,,,2948,Los aguadores de Puerta Cerrada,,Entremés,1,1762,,Sainete: La noche de San Juan - premier,Agueda de la Calle,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Julio 1762,*El pleito matrimonial,,auto sacramental,,,2281,Los aguadores de Puerta Cerrada,,Entremés,1,1762,,Sainete: La noche de San Juan - premier,Agueda de la Calle,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Julio 1762,*El pleito matrimonial,,auto sacramental,,,3701,Los aguadores de Puerta Cerrada,,Entremés,1,1762,,Sainete: La noche de San Juan - premier,Agueda de la Calle,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Julio 1762,La inclinación española,,,,,1436,,,,,,,,Agueda de la Calle,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 Julio 1762,El duelo contra su dama,,,,,1100,,,,,,,,Agueda de la Calle,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 Agosto 1762,Fuego de Dios en el querer bien,,,,,1832,,,,,,,,Agueda de la Calle,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Agosto 1762,El príncipe más constante,,,,,1162,,,,,,,,Agueda de la Calle,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Agosto 1762,El guapo Julián Romero,,,,,1997,,,,,,,,Agueda de la Calle,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Agosto 1762,García del Castañar (para Nª Sª de la Novena),,,,,3866,,,,,,,,Agueda de la Calle,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Agosto 1762,El picarito en España,,,,,1633,,,,,,,,Agueda de la Calle,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Agosto 1762,Juan Sánchez de Talavera,,,,,1365,,,,,,,,Agueda de la Calle,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Agosto 1762,El blasón de los Guzmanes,,,,,1303,,,,,,,,Agueda de la Calle,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 Agosto 1762,Mateo Vicente Benet,,,,,2840,,,,,,,,Agueda de la Calle,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 Septiembre 1762,Mateo Vicente Benet,,,,,2194,,,,,,,,María Hidalgo,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 Septiembre 1762,Mejor está que estaba,,,,,1388,Contra gustos no hay disputas,,Sainete,1,1762,,,María Hidalgo,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 Septiembre 1762,Mejor está que estaba,,,,,2236,Contra gustos no hay disputas,,Sainete,1,1762,,,María Hidalgo,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 Septiembre 1762,Mejor está que estaba,,,,,905,Contra gustos no hay disputas,,Sainete,1,1762,,,María Hidalgo,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Septiembre 1762,Mejor está que estaba,,,,,502,Contra gustos no hay disputas,,Sainete,1,1762,,,María Hidalgo,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Septiembre 1762,La fingida Arcadia,,,,,800,,,,,,,,María Hidalgo,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Septiembre 1762,La fingida Arcadia,,,,,1803,,,,,,,,María Hidalgo,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Septiembre 1762,La banda de Castilla,,,,,1154,,,,,,,,María Hidalgo,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Septiembre 1762,La banda de Castilla,,,,,1056,,,,,,,,María Hidalgo,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Septiembre 1762,El conde Alarcos,,,,,1010,,,,,,,,María Hidalgo,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 Septiembre 1762,El conde Alarcos,,,,,1048,,,,,,,,María Hidalgo,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Septiembre 1762,Cicontio y Demetrio,,,,1762,2607,,,,,,,,María Hidalgo,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Septiembre 1762,Cicontio y Demetrio,,,,1762,1818,,,,,,,,María Hidalgo,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Septiembre 1762,Cicontio y Demetrio,,,,1762,3456,,,,,,,,María Hidalgo,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Septiembre 1762,Cicontio y Demetrio,,,,1762,1693,,,,,,,,María Hidalgo,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Septiembre 1762,Cicontio y Demetrio,,,,1762,1495,,,,,,,,María Hidalgo,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Septiembre 1762,La dama duende,,,,,577,,,,,,,,María Hidalgo,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Septiembre 1762,La dama duende,,,,,637,,,,,,,,María Hidalgo,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Septiembre 1762,El rey don Sebastián,,,,,900,,,,,,,,María Hidalgo,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Septiembre 1762,El rey don Sebastián,,,,,500,,,,,,,,María Hidalgo,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 Septiembre 1762,El pastelero de Madrigal,,,,,1655,,,,,,,,María Hidalgo,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Septiembre 1762,El primer asistente de Sevilla,,,,,619,,,,,,,,María Hidalgo,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Septiembre 1762,El primer asistente de Sevilla,,,,,423,,,,,,,,María Hidalgo,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 Septiembre 1762,El príncipe tonto,,,,,1222,,,,,,,,María Hidalgo,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Septiembre 1762,El príncipe tonto,,,,,636,,,,,,,,María Hidalgo,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 Octubre 1762,No siempre es cierto el destino,,,,,919,,,,,,,,María Hidalgo,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 Octubre 1762,No siempre es cierto el destino,,,,,727,,,,,,,,María Hidalgo,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 Octubre 1762,No siempre es cierto el destino,,,,,1849,,,,,,,,María Hidalgo,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 Octubre 1762,No puede ser guardar una mujer,,,,,1410,,,,,,,,María Hidalgo,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 Octubre 1762,No puede ser guardar una mujer,,,,,912,,,,,,,,María Hidalgo,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 Octubre 1762,El tetrarca de Jerusalén,,,,,922,,,,,,,,María Hidalgo,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 Octubre 1762,El tetrarca de Jerusalén,,,,,1243,,,,,,,,María Hidalgo,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 Octubre 1762,Guerras de amor y celos,,,,,1329,El ensayo o turbación de un poeta,,Entremés,1,,,,María Hidalgo,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 Octubre 1762,Guerras de amor y celos,,,,,1072,El ensayo o turbación de un poeta,,Entremés,1,,,,María Hidalgo,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Octubre 1762,Guerras de amor y celos,,,,,2381,El ensayo o turbación de un poeta,,Entremés,1,,,,María Hidalgo,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Octubre 1762,Don Domingo de don Blas,,,,,1372,,,,,,,,María Hidalgo,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Octubre 1762,Don Domingo de don Blas,,,,,1871,,,,,,,,María Hidalgo,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Octubre 1762,Don Domingo de don Blas,,,,,1265,,,,,,,,María Hidalgo,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Octubre 1762,El defensor de su agravio,,,,,1450,,,,,,,,María Hidalgo,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Octubre 1762,Coronado mas no muerto,,,,,2023,,,Sainetes,1,1762,,,María Hidalgo,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 Octubre 1762,Coronado mas no muerto,,,,,1943,,,Sainetes,1,1762,,,María Hidalgo,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Octubre 1762,Coronado mas no muerto,,,,,3387,,,Sainetes,1,1762,,,María Hidalgo,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Octubre 1762,Coronado mas no muerto,,,,,2096,,,Sainetes,1,1762,,,María Hidalgo,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Octubre 1762,Coronado mas no muerto,,,,,1909,,,Sainetes,1,1762,,,María Hidalgo,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Octubre 1762,Coronado mas no muerto,,,,,1391,,,Sainetes,1,1762,,,María Hidalgo,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Octubre 1762,Coronado mas no muerto,,,,,1299,,,Sainetes,1,1762,,,María Hidalgo,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Octubre 1762,La fuerza del natural,,,,,1421,,,,,,,,María Hidalgo,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Octubre 1762,*Juana la Rabicortona (1ª parte),,,,,3181,,,Sainete,1,1762,,,María Hidalgo,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Octubre 1762,*Juana la Rabicortona (1ª parte),,,,,5155,,,Sainete,1,1762,,,María Hidalgo,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Octubre 1762,*Juana la Rabicortona (1ª parte),,,,,2926,,,Sainete,1,1762,,,María Hidalgo,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 Octubre 1762,*Juana la Rabicortona (1ª parte),,,,,2630,,,Sainete,1,1762,,,María Hidalgo,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Octubre 1762,*Juana la Rabicortona (1ª parte),,,,,2277,,,Sainete,1,1762,,,María Hidalgo,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Octubre 1762,*La real jura de Artajerjes,,,,1762,5012,El tribunal de la moda,,Sainete,1,1762,,,María Hidalgo,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 Octubre 1762,*La real jura de Artajerjes,,,,1762,3740,El tribunal de la moda,,Sainete,1,1762,,,María Hidalgo,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Octubre 1762,*La real jura de Artajerjes,,,,1762,3078,El tribunal de la moda,,Sainete,1,1762,,,María Hidalgo,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31 Octubre 1762,*La real jura de Artajerjes,,,,1762,5429,El tribunal de la moda,,Sainete,1,1762,,,María Hidalgo,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 Noviembre 1762,*La real jura de Artajerjes,,,,1762,4709,El tribunal de la moda,,Sainete,1,1762,,,María Hidalgo,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 Noviembre 1762,*La real jura de Artajerjes,,,,1762,4623,El tribunal de la moda,,Sainete,1,1762,,,María Hidalgo,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 Noviembre 1762,*La real jura de Artajerjes,,,,1762,3583,El tribunal de la moda,,Sainete,1,1762,,,María Hidalgo,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 Noviembre 1762,*La real jura de Artajerjes,,,,1762,2589,El tribunal de la moda,,Sainete,1,1762,,,María Hidalgo,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 Noviembre 1762,*La real jura de Artajerjes,,,,1762,2399,El tribunal de la moda,,Sainete,1,1762,,,María Hidalgo,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 Noviembre 1762,*La real jura de Artajerjes,,,,1762,4422,El tribunal de la moda,,Sainete,1,1762,,,María Hidalgo,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 Noviembre 1762,*La real jura de Artajerjes,,,,1762,4733,El tribunal de la moda,,Sainete,1,1762,,,María Hidalgo,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 Noviembre 1762,*La real jura de Artajerjes,,,,1762,4293,El tribunal de la moda,,Sainete,1,1762,,,María Hidalgo,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Noviembre 1762,*La real jura de Artajerjes,,,,1762,3623,El tribunal de la moda,,Sainete,1,1762,,,María Hidalgo,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Noviembre 1762,*La real jura de Artajerjes,,,,1762,4450,El tribunal de la moda,,Sainete,1,1762,,,María Hidalgo,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Noviembre 1762,*La real jura de Artajerjes,,,,1762,3305,El tribunal de la moda,,Sainete,1,1762,,,María Hidalgo,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Noviembre 1762,*La real jura de Artajerjes,,,,1762,2131,El tribunal de la moda,,Sainete,1,1762,,,María Hidalgo,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Noviembre 1762,*La real jura de Artajerjes,,,,1762,4727,El tribunal de la moda,,Sainete,1,1762,,,María Hidalgo,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Noviembre 1762,*La real jura de Artajerjes,,,,1762,3981,El tribunal de la moda,,Sainete,1,1762,,,María Hidalgo,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
