Performance Date,Play 1 Title,Author 1 Name,Play 1 Genre,Play 1 # of Acts,Play 1 Date of Premier,Play 1 Box Office Receipts,Play 2 Title,Author 2 Name,Play 2 Genre,Play 2 # of Acts,Play 2 Date of Premier,Play 2 Box Office Receipts,Play 3,Company Director,Day of the Week
14 Abril 1748,Dar tiempo al tiempo,Pedro Calderón de la Barca,,3,1650,3163,,,,,,,,Joseph de Parra,Sunday
15 Abril 1748,Dar tiempo al tiempo,Pedro Calderón de la Barca,,3,1650,3086,,,,,,,,Joseph de Parra,Monday
16 Abril 1748,Dar tiempo al tiempo,Pedro Calderón de la Barca,,3,1650,2135,,,,,,,,Joseph de Parra,Tuesday
17 Abril 1748,La hija del aire (1ª parte),Pedro Calderón de la Barca,,3,1653,714,,,,,,,,Joseph de Parra,Wednesday
18 Abril 1748,La hija del aire (1ª parte),Pedro Calderón de la Barca,,3,1653,1209,,,,,,,,Joseph de Parra,Thursday
19 Abril 1748,La hija del aire (2ª parte),Pedro Calderón de la Barca,,3,1653,908,,,,,,,,Joseph de Parra,Friday
20 Abril 1748,La hija del aire (2ª parte),Pedro Calderón de la Barca,,3,1653,825,,,,,,,,Joseph de Parra,Saturday
21 Abril 1748,La hija del aire (2ª parte),Pedro Calderón de la Barca,,3,1653,1317,,,,,,,,Joseph de Parra,Sunday
22 Abril 1748,Lo mejor es lo mejor,Antonio Folch de Cardona,,3,1682,770,,,,,,,,Joseph de Parra,Monday
23 Abril 1748,Lo mejor es lo mejor,Antonio Folch de Cardona,,3,1682,720,,,,,,,,Joseph de Parra,Tuesday
24 Abril 1748,El amante mudo,"Sebastián de Villaviciosa, Juan de Zabaleta, Juan de Matos Fragoso",,3,,753,,,,,,,,Joseph de Parra,Wednesday
25 Abril 1748,El amante mudo,"Sebastián de Villaviciosa, Juan de Zabaleta, Juan de Matos Fragoso",,3,,879,,,,,,,,Joseph de Parra,Thursday
26 Abril 1748,Las cuentas del Gran Capitán,José de Cañizares,,3,1715,1549,,,,,,,,Joseph de Parra,Friday
27 Abril 1748,Las cuentas del Gran Capitán,José de Cañizares,,3,1715,1543,,,,,,,,Joseph de Parra,Saturday
28 Abril 1748,Las cuentas del Gran Capitán,José de Cañizares,,3,1715,3242,,,,,,,,Joseph de Parra,Sunday
29 Abril 1748,Las cuentas del Gran Capitán,José de Cañizares,,3,1715,1478,,,,,,,,Joseph de Parra,Monday
30 Abril 1748,Los desagravios de Cristo,Álvaro Cubillo de Aragón,,3,1637,774,,,,,,,,Joseph de Parra,Tuesday
01 Mayo 1748,Los desagravios de Cristo,Álvaro Cubillo de Aragón,,3,1637,549,,,,,,,,Joseph de Parra,Wednesday
02 Mayo 1748,No hay contra un padre razón,Francisco de Leiva Ramírez de Arellano,,3,1683,568,,,,,,,,Joseph de Parra,Thursday
03 Mayo 1748,No hay contra un padre razón,Francisco de Leiva Ramírez de Arellano,,3,1683,579,,,,,,,,Joseph de Parra,Friday
04 Mayo 1748,El valiente negro en Flandes,*Andrés de Claramonte y Corroy,,3,1651,553,,,,,,,,Joseph de Parra,Saturday
05 Mayo 1748,El negro más prodigioso,,,,,1480,,,,,,,,Joseph de Parra,Sunday
06 Mayo 1748,El sastre del Campillo,Luis de Belmonte Bermúdez,,,,788,,,,,,,,Joseph de Parra,Monday
07 Mayo 1748,El sastre del Campillo,,,,,635,,,,,,,,Joseph de Parra,Tuesday
08 Mayo 1748,No hay contra lealtad cautelas,,,,,673,,,,,,,,Joseph de Parra,Wednesday
09 Mayo 1748,La prudencia en la niñez,,,,,2522,,,,,,,,Joseph de Parra,Thursday
10 Mayo 1748,La prudencia en la niñez,,,,,2673,,,,,,,,Joseph de Parra,Friday
11 Mayo 1748,La prudencia en la niñez,,,,,2245,,,,,,,,Joseph de Parra,Saturday
12 Mayo 1748,La prudencia en la niñez,,,,,3623,,,,,,,,Joseph de Parra,Sunday
13 Mayo 1748,La prudencia en la niñez,,,,,2229,,,,,,,,Joseph de Parra,Monday
14 Mayo 1748,La prudencia en la niñez,,,,,1574,,,,,,,,Joseph de Parra,Tuesday
15 Mayo 1748,La prudencia en la niñez,,,,,1747,,,,,,,,Joseph de Parra,Wednesday
16 Mayo 1748,La prudencia en la niñez,,,,,1209,,,,,,,,Joseph de Parra,Thursday
17 Mayo 1748,El cura de Madrilejos,,,,,1348,,,,,,,,Joseph de Parra,Friday
18 Mayo 1748,El cura de Madrilejos,,,,,1067,,,,,,,,Joseph de Parra,Saturday
19 Mayo 1748,El cura de Madrilejos,,,,,1911,,,,,,,,Joseph de Parra,Sunday
20 Mayo 1748,*El montañés en la Corte y músico por amor,,,,,1747,,,,,,,,Joseph de Parra,Monday
21 Mayo 1748,*El montañés en la Corte y músico por amor,,,,,1741,,,,,,,,Joseph de Parra,Tuesday
22 Mayo 1748,*El montañés en la Corte y músico por amor,,,,,1022,,,,,,,,Joseph de Parra,Wednesday
23 Mayo 1748,*El montañés en la Corte y músico por amor,,,,,2130,,,,,,,,Joseph de Parra,Thursday
24 Mayo 1748,La banda y la flor,,,,,534,,,,,,,,Joseph de Parra,Friday
25 Mayo 1748,La tía y la sobrina,,,,,656,,,,,,,,Joseph de Parra,Saturday
26 Mayo 1748,La tía y la sobrina,,,,,1329,,,,,,,,Joseph de Parra,Sunday
27 Mayo 1748,Hados y lados hacen dichosos y desdichados,,,,,688,,,,,,,,Joseph de Parra,Monday
28 Mayo 1748,Hados y lados hacen dichosos y desdichados,,,,,457,,,,,,,,Joseph de Parra,Tuesday
29 Mayo 1748,El Cid Campeador,,,,,716,,,,,,,,Joseph de Parra,Wednesday
30 Mayo 1748,El Cid Campeador,,,,,1669,,,,,,,,Joseph de Parra,Thursday
31 Mayo 1748,El conde de Sex,,,,,358,,,,,,,,Joseph de Parra,Friday
01 Junio 1748,Las armas de la hermosura,,,,,268,,,,,,,,Joseph de Parra,Saturday
02 Junio 1748,El monstruo de los jardines,,,,,1182,,,,,,,,Joseph de Parra,Sunday
03 Junio 1748,El monstruo de los jardines,,,,,1098,,,,,,,,Joseph de Parra,Monday
04 Junio 1748,La inclinación española,,,,,998,,,,,,,,Joseph de Parra,Tuesday
05 Junio 1748,La inclinación española,,,,,470,,,,,,,,Joseph de Parra,Wednesday
06 Junio 1748,El mejor amigo el rey,,,,,563,,,,,,,,Joseph de Parra,Thursday
07 Junio 1748,El mejor amigo el rey,,,,,462,,,,,,,,Joseph de Parra,Friday
08 Junio 1748,El duelo contra su dama,,,,,573,,,,,,,,Joseph de Parra,Saturday
09 Junio 1748,El duelo contra su dama,,,,,996,,,,,,,,Joseph de Parra,Sunday
10 Junio 1748,Las amazonas,,,,,367,,,,,,,,Joseph de Parra,Monday
11 Junio 1748,El picarito en España,,,,,598,,,,,,,,Joseph de Parra,Tuesday
12 Junio 1748,La niña de Gómez Arias,,,,,493,,,,,,,,Joseph de Parra,Wednesday
13 Junio 1748,La niña de Gómez Arias,,,,,712,,,,,,,,Joseph de Parra,Thursday
14 Junio 1748,No hay contra lealtad cautelas,,,,,197,,,,,,,,Joseph de Parra,Friday
15 Junio 1748,El ricohombre de Alcalá,,,,,369,,,,,,,,Joseph de Parra,Saturday
16 Junio 1748,El ricohombre de Alcalá,,,,,378,,,,,,,,Joseph de Parra,Sunday
21 Junio 1748,*Lo que va del hombre a Dios ,,Auto,,,2178,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Friday
22 Junio 1748,*Lo que va del hombre a Dios,,Auto,,,2615,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Saturday
23 Junio 1748,*Lo que va del hombre a Dios,,Auto,,,2505,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Sunday
24 Junio 1748,*Lo que va del hombre a Dios,,Auto,,,2081,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Monday
25 Junio 1748,*Lo que va del hombre a Dios ,,Auto,,,2770,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Tuesday
26 Junio 1748,*La que va del hombre a Dios,,Auto,,,2786,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Wednesday
27 Junio 1748,*Lo que va del hombre a Dios,,Auto,,,3948,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Thursday
28 Junio 1748,*Lo que va del hombre a Dios,,Auto,,,3132,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Friday
29 Junio 1748,*Lo que va del hombre a Dios,,Auto,,,4005,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Saturday
30 Junio 1748,*Lo que va del hombre a Dios ,,Auto,,,4433,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Sunday
01 Julio 1748,*Lo que va del hombre a Dios,,Auto,,,3551,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Monday
02 Julio 1748,*Lo que va del hombre a Dios,,Auto,,,3186,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Tuesday
03 Julio 1748,*Lo que va del hombre a Dios,,Auto,,,3288,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Wednesday
04 Julio 1748,*Lo que va del hombre a Dios ,,Auto,,,3646,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Thursday
05 Julio 1748,*La que va del hombre a Dios,,Auto,,,3046,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Friday
06 Julio 1748,*Lo que va del hombre a Dios,,Auto,,,2297,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Saturday
07 Julio 1748,*Lo que va del hombre a Dios,,Auto,,,4318,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Sunday
08 Julio 1748,*Lo que va del hombre a Dios,,Auto,,,2827,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Monday
09 Julio 1748,*Lo que va del hombre a Dios ,,Auto,,,2173,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Tuesday
10 Julio 1748,*Lo que va del hombre a Dios,,Auto,,,2184,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Wednesday
11 Julio 1748,*Lo que va del hombre a Dios,,Auto,,,2794,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Thursday
12 Julio 1748,*Lo que va del hombre a Dios,,Auto,,,2118,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Friday
13 Julio 1748,*Lo que va del hombre a Dios ,,Auto,,,1792,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Saturday
14 Julio 1748,*La que va del hombre a Dios,,Auto,,,3154,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Sunday
15 Julio 1748,*Lo que va del hombre a Dios,,Auto,,,2881,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Monday
16 Julio 1748,*Lo que va del hombre a Dios,,Auto,,,1974,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Tuesday
17 Julio 1748,*Lo que va del hombre a Dios,,Auto,,,2526,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Wednesday
18 Julio 1748,*Lo que va del hombre a Dios ,,Auto,,,2231,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Thursday
19 Julio 1748,*Lo que va del hombre a Dios,,Auto,,,1431,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Friday
20 Julio 1748,*Lo que va del hombre a Dios,,Auto,,,918,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Saturday
21 Julio 1748,*Lo que va del hombre a Dios ,,Auto,,,1258,,Martínez,Sainete,1,,,Tonadillas agenciadas por Juan Ladvenant para el fin de fiesta del mismo,Joseph de Parra,Sunday
25 Julio 1748,La boba discreta,,,,,1408,,,,,,,,Joseph de Parra,Thursday
26 Julio 1748,La boba discreta,,,,,1288,,,,,,,,Joseph de Parra,Friday
27 Julio 1748,La boba discreta,,,,,1081,,,,,,,,Joseph de Parra,Saturday
28 Julio 1748,La boba discreta,,,,,1345,,,,,,,,Joseph de Parra,Sunday
04 Agosto 1748,El ganapán de desdichas,,,,,1552,,,,,,,,Joseph de Parra,Sunday
14 Agosto 1748,Lo que vale ser devoto de San Antonio de Padua,,,,,1236,,,,,,,,Joseph de Parra,Wednesday
14 Agosto 1748,Lo que vale ser devoto de San Antonio de Padua,,,,,1090,,,,,,,,Joseph de Parra,Wednesday
15 Agosto 1748,El caballo vos han muerto,,,,,1022,,,,,,,,Joseph de Parra,Thursday
18 Agosto 1748,El negro más prodigioso,,,,,1302,,,,,,,,Joseph de Parra,Sunday
24 Agosto 1748,Si una vez llega a querer la más firme es la mujer,,,,,1078,,,,,,,,Joseph de Parra,Saturday
25 Agosto 1748,La mujer de Peribáñez,,,,,1176,,,,,,,,Joseph de Parra,Sunday
28 Agosto 1748,La mayor hazaña de Carlos V,,,,,1143,,,,,,,,Joseph de Parra,Wednesday
01 Septiembre 1748,El alcaide de sí mismo,,,,,973,,,,,,,,Joseph de Parra,Sunday
07 Septiembre 1748,Querer sabiendo querer,,,,,496,,,,,,,,Joseph de Parra,Saturday
08 Septiembre 1748,Querer sabiendo querer,,,,,1352,,,,,,,,Joseph de Parra,Sunday
09 Septiembre 1748,Los siete infantes de Lara,,,,,524,,,,,,,,Joseph de Parra,Monday
10 Septiembre 1748,Los siete infantes de Lara,,,,,478,,,,,,,,Joseph de Parra,Tuesday
11 Septiembre 1748,No hay dicha ni desdicha hasta la muerte,,,,,422,,,,,,,,Joseph de Parra,Wednesday
12 Septiembre 1748,No hay dicha ni desdicha hasta la muerte,,,,,603,,,,,,,,Joseph de Parra,Thursday
13 Septiembre 1748,El desdén con el desdén,,,,,509,,,,,,,,Joseph de Parra,Friday
14 Septiembre 1748,El sastre del Campillo,,,,,336,,,,,,,,Joseph de Parra,Saturday
15 Septiembre 1748,El sastre del Campillo,,,,,1003,,,,,,,,Joseph de Parra,Sunday
16 Septiembre 1748,Hados y lados hacen dichosos y desdichados,,,,,451,,,,,,,,Joseph de Parra,Monday
17 Septiembre 1748,Hados y lados hacen dichosos y desdichados,,,,,1020,,,,,,,,Joseph de Parra,Tuesday
18 Septiembre 1748,El nazareno Sansón,,,,,532,,,,,,,,Joseph de Parra,Wednesday
19 Septiembre 1748,El nazareno Sansón,,,,,1060,,,,,,,,Joseph de Parra,Thursday
20 Septiembre 1748,La conquista de Toro y heroica Antona García,,,,,1444,,,,,,,,,Friday
21 Septiembre 1748,La conquista de Toro y heroica Antona García,,,,,1496,,,,,,,,,Saturday
22 Septiembre 1748,La conquista de Toro y heroica Antona García,,,,,1301,,,,,,,,Joseph de Parra,Sunday
23 Septiembre 1748,El más impropio verdugo por la más justa venganza,,,,,401,,,,,,,,Joseph de Parra,Monday
24 Septiembre 1748,No hay contra lealtad cautelas,,,,,493,,,,,,,,Joseph de Parra,Tuesday
25 Septiembre 1748,"Fortuna te dé Dios, hijo, que el saber poco te basta",,,,,553,,,,,,,,Joseph de Parra,Wednesday
26 Septiembre 1748,"Fortuna te dé Dios, hijo, que el saber poco te basta",,,,,864,,,,,,,,Joseph de Parra,Thursday
27 Septiembre 1748,"Para acrisolar su honor, competidor hijo y padre",,,,,1106,,,,,,,,Joseph de Parra,Friday
28 Septiembre 1748,"Para acrisolar su honor, competidor hijo y padre",,,,,1470,,,,,,,,Joseph de Parra,Saturday
29 Septiembre 1748,"Para acrisolar su honor, competidor hijo y padre",,,,,2429,,,,,,,,Joseph de Parra,Sunday
30 Septiembre 1748,"Para acrisolar su honor, competidor hijo y padre",,,,,2466,,,,,,,,Joseph de Parra,Monday
01 Octubre 1748,"Para acrisolar su honor, competidor hijo y padre",,,,,2000,,,,,,,,Joseph de Parra,Tuesday
02 Octubre 1748,"Para acrisolar su honor, competidor hijo y padre",,,,,1933,,,,,,,,Joseph de Parra,Wednesday
03 Octubre 1748,"Para acrisolar su honor, competidor hijo y padre",,,,,1686,,,,,,,,Joseph de Parra,Thursday
04 Octubre 1748,"Para acrisolar su honor, competidor hijo y padre",,,,,2207,,,,,,,,Joseph de Parra,Friday
05 Octubre 1748,"Para acrisolar su honor, competidor hijo y padre",,,,,1463,,,,,,,,Joseph de Parra,Saturday
06 Octubre 1748,"Para acrisolar su honor, competidor hijo y padre",,,,,2383,,,,,,,,Joseph de Parra,Sunday
07 Octubre 1748,"Para acrisolar su honor, competidor hijo y padre",,,,,1630,,,,,,,,Joseph de Parra,Monday
08 Octubre 1748,"Para acrisolar su honor, competidor hijo y padre",,,,,1008,,,,,,,,Joseph de Parra,Tuesday
09 Octubre 1748,Del sepulcro a la corona,,,,,678,,,,,,,,Joseph de Parra,Wednesday
10 Octubre 1748,Del sepulcro a la corona,,,,,826,,,,,,,,Joseph de Parra,Thursday
11 Octubre 1748,El príncipe don Carlos,,,,,984,,,,,,,,Joseph de Parra,Friday
12 Octubre 1748,El príncipe don Carlos,,,,,745,,,,,,,,Joseph de Parra,Saturday
13 Octubre 1748,El príncipe don Carlos,,,,,2793,,,,,,,,Joseph de Parra,Sunday
14 Octubre 1748,La duquesa de Sajonia,,,,,879,,,,,,,,Joseph de Parra,Monday
15 Octubre 1748,La duquesa de Sajonia,,,,,959,,,,,,,,Joseph de Parra,Tuesday
16 Octubre 1748,El gorrón de Salamanca,,,,,907,,,,,,,,Joseph de Parra,Wednesday
17 Octubre 1748,El gorrón de Salamanca,,,,,918,,,,,,,,Joseph de Parra,Thursday
18 Octubre 1748,Las armas de la hermosura,,,,,634,,,,,,,,Joseph de Parra,Friday
19 Octubre 1748,*La mágica Cibeles (1ª parte),,,,,2756,,,,,,,,Joseph de Parra,Saturday
20 Octubre 1748,*La mágica Cibeles (1ª parte),,,,,4367,,,,,,,,Joseph de Parra,Sunday
21 Octubre 1748,*La mágica Cibeles (2ª parte),,,,,2512,,Nicolás González Martínez,Sainetes,1,,,,Joseph de Parra,Monday
22 Octubre 1748,*La mágica Cibeles (2ª parte),,,,,1812,,Nicolás González Martínez,Sainetes,1,,,,Joseph de Parra,Tuesday
23 Octubre 1748,*La mágica Cibeles (2ª parte),,,,,1822,,Nicolás González Martínez,Sainetes,1,,,,Joseph de Parra,Wednesday
24 Octubre 1748,Dar la vida por su dama,,,,,598,,,,,,,,Joseph de Parra,Thursday
25 Octubre 1748,Dar la vida por su dama,,,,,559,,,,,,,,Joseph de Parra,Friday
26 Octubre 1748,*Don Juan de Espina en Milán,,,,,2054,,,,,,,,Joseph de Parra,Saturday
27 Octubre 1748,*Don Juan de Espina en Milán,,,,,4027,,,,,,,,Joseph de Parra,Sunday
28 Octubre 1748,*Don Juan de Espina en Milán,,,,,3709,,,,,,,,Joseph de Parra,Monday
29 Octubre 1748,*Don Juan de Espina en Milán,,,,,1431,,,,,,,,Joseph de Parra,Tuesday
30 Octubre 1748,*Don Juan de Espina en Milán,,,,,1442,,,,,,,,Joseph de Parra,Wednesday
31 Octubre 1748,*Don Juan de Espina en Milán,,,,,1937,,,,,,,,Joseph de Parra,Thursday
02 Noviembre 1748,*Don Juan de Espina en Milán,,,,,1033,,,,,,,,Joseph de Parra,Saturday
03 Noviembre 1748,*Don Juan de Espina en Milán,,,,,2618,,,,,,,,Joseph de Parra,Sunday
04 Noviembre 1748,El amante mudo,,,,,758,,,,,,,,Joseph de Parra,Monday
05 Noviembre 1748,El ricohombre de Alcalá,,,,,586,,,,,,,,Joseph de Parra,Tuesday
06 Noviembre 1748,Las cuentas del Gran Capitán,,,,,1267,,,,,,,,Joseph de Parra,Wednesday
07 Noviembre 1748,Las cuentas del Gran Capitán,,,,,771,,,,,,,,Joseph de Parra,Thursday
08 Noviembre 1748,"El bandido más honrado, Mateo Vicente Benet",,,,,1091,,,,,,,,Joseph de Parra,Friday
09 Noviembre 1748,"El bandido más honrado, Mateo Vicente Benet",,,,,974,,,,,,,,Joseph de Parra,Saturday
10 Noviembre 1748,"El bandido más honrado, Mateo Vicente Benet",,,,,1976,,,,,,,,Joseph de Parra,Sunday
11 Noviembre 1748,El alcalde de sí mismo,,,,,286,,,,,,,,Joseph de Parra,Monday
12 Noviembre 1748,El desdén con el desdén,,,,,425,,,,,,,,Joseph de Parra,Tuesday
13 Noviembre 1748,Habladme en entrando,,,,,500,,,,,,,,Joseph de Parra,Wednesday
14 Noviembre 1748,Habladme en entrando,,,,,960,,,,,,,,Joseph de Parra,Thursday
15 Noviembre 1748,Juez y reo de su causa,,,,,2336,,,,,,,,Joseph de Parra,Friday
16 Noviembre 1748,Juez y reo de su causa,,,,,1001,,,,,,,,Joseph de Parra,Saturday
17 Noviembre 1748,Juez y reo de su causa,,,,,3137,,,,,,,,Joseph de Parra,Sunday
18 Noviembre 1748,Juez y reo de su causa,,,,,1477,,,,,,,,Joseph de Parra,Monday
19 Noviembre 1748,Juez y reo de su causa,,,,,1083,,,,,,,,Joseph de Parra,Tuesday
20 Noviembre 1748,Juez y reo de su causa,,,,,956,,,,,,,,Joseph de Parra,Wednesday
21 Noviembre 1748,Juez y reo de su causa,,,,,764,,,,,,,,Joseph de Parra,Thursday
22 Noviembre 1748,Juan Labrador,,,,,536,,,,,,,,Joseph de Parra,Friday
23 Noviembre 1748,Cuerdos hay que parecen locos,,,,,670,,,,,,,,Joseph de Parra,Saturday
24 Noviembre 1748,Cuerdos hay que parecen locos,,,,,794,,,,,,,,Joseph de Parra,Sunday
25 Noviembre 1748,La hija del aire (1ª parte),Pedro Calderón de la Barca,,,,517,,,,,,,,Joseph de Parra,Monday
26 Noviembre 1748,La hija del aire (1ª parte),Pedro Calderón de la Barca,,,,381,,,,,,,,Joseph de Parra,Tuesday
27 Noviembre 1748,La hija del aire (2ª parte),Pedro Calderón de la Barca,,,,425,,,,,,,,Joseph de Parra,Wednesday
28 Noviembre 1748,La hija del aire (2ª parte),Pedro Calderón de la Barca,,,,450,,,,,,,,Joseph de Parra,Thursday
29 Noviembre 1748,La banda y la flor,,,,,449,,,,,,,,Joseph de Parra,Friday
30 Noviembre 1748,*Hay venganza que es clemencia,,,,1748,3465,,Nicolás González Martínez,Sainetes,1,1748,,,Joseph de Parra,Saturday
01 Diciembre 1748,*Hay venganza que es clemencia,,,,1748,5312,,Nicolás González Martínez,Sainetes,1,1748,,,Joseph de Parra,Sunday
02 Diciembre 1748,*Hay venganza que es clemencia,,,,1748,4050,,Nicolás González Martínez,Sainetes,1,1748,,,Joseph de Parra,Monday
03 Diciembre 1748,*Hay venganza que es clemencia,,,,1748,3417,,Nicolás González Martínez,Sainetes,1,1748,,,Joseph de Parra,Tuesday
04 Diciembre 1748,*Hay venganza que es clemencia,,,,1748,3219,,Nicolás González Martínez,Sainetes,1,1748,,,Joseph de Parra,Wednesday
05 Diciembre 1748,*Hay venganza que es clemencia,,,,1748,3181,,Nicolás González Martínez,Sainetes,1,1748,,,Joseph de Parra,Thursday
06 Diciembre 1748,*Hay venganza que es clemencia,,,,1748,2042,,Nicolás González Martínez,Sainetes,1,1748,,,Joseph de Parra,Friday
07 Diciembre 1748,*Hay venganza que es clemencia,,,,1748,1850,,Nicolás González Martínez,Sainetes,1,1748,,,Joseph de Parra,Saturday
08 Diciembre 1748,*Hay venganza que es clemencia,,,,1748,3011,,Nicolás González Martínez,Sainetes,1,1748,,,Joseph de Parra,Sunday
09 Diciembre 1748,*Hay venganza que es clemencia,,,,1748,2179,,Nicolás González Martínez,Sainetes,1,1748,,,Joseph de Parra,Monday
10 Diciembre 1748,*Hay venganza que es clemencia,,,,1748,1569,,Nicolás González Martínez,Sainetes,1,1748,,,Joseph de Parra,Tuesday
11 Diciembre 1748,*Hay venganza que es clemencia,,,,1748,1604,,Nicolás González Martínez,Sainetes,1,1748,,,Joseph de Parra,Wednesday
12 Diciembre 1748,A un tiempo rey y vasallo,,,,,346,,,,,,,,Joseph de Parra,Thursday
13 Diciembre 1748,A un tiempo rey y vasallo,,,,,334,,,,,,,,Joseph de Parra,Friday
14 Diciembre 1748,El mejor amigo el rey,,,,,381,,,,,,,,Joseph de Parra,Saturday
15 Diciembre 1748,El mejor amigo el rey,,,,,614,,,,,,,,Joseph de Parra,Sunday
16 Diciembre 1748,El rey don Enrique el Enfermo,,,,,671,,,,,,,,Joseph de Parra,Monday
17 Diciembre 1748,El rey don Enrique el Enfermo,,,,,614,,,,,,,,Joseph de Parra,Tuesday
18 Diciembre 1748,El picarito en España,,,,,303,,,,,,,,Joseph de Parra,Wednesday
19 Diciembre 1748,El picarito en España,,,,,366,,,,,,,,Joseph de Parra,Thursday
20 Diciembre 1748,El guapo Julián Romero,,,,,557,,,,,,,,Joseph de Parra,Friday
21 Diciembre 1748,El guapo Julián Romero,,,,,530,,,,,,,,Joseph de Parra,Saturday
22 Diciembre 1748,No hay dicha hasta la muerte,,,,,1622,,,,,,,,Joseph de Parra,Sunday
25 Diciembre 1748,"*El hombre más feo del mundo, Esopo el fabulador",,,,,3884,,,Sainetes,1,1749,,,Joseph de Parra,Wednesday
26 Diciembre 1748,"*El hombre más feo del mundo, Esopo el fabulador",,,,,5176,,,Sainetes,1,1749,,,Joseph de Parra,Thursday
27 Diciembre 1748,"*El hombre más feo del mundo, Esopo el fabulador",,,,,5082,,,Sainetes,1,1749,,,Joseph de Parra,Friday
28 Diciembre 1748,"*El hombre más feo del mundo, Esopo el fabulador",,,,,4040,,,Sainetes,1,1749,,,Joseph de Parra,Saturday
29 Diciembre 1748,"*El hombre más feo del mundo, Esopo el fabulador",,,,,3804,,,Sainetes,1,1749,,,Joseph de Parra,Sunday
30 Diciembre 1748,"*El hombre más feo del mundo, Esopo el fabulador",,,,,3646,,,Sainetes,1,1749,,,Joseph de Parra,Monday
31 Diciembre 1748,"*El hombre más feo del mundo, Esopo el fabulador",,,,,3001,,,Sainetes,1,1749,,,Joseph de Parra,Tuesday
01 Enero 1749,"*El hombre más feo del mundo, Esopo el fabulador",,,,,3234,,,Sainetes,1,1749,,,Joseph de Parra,Wednesday
02 Enero 1749,"*El hombre más feo del mundo, Esopo el fabulador",,,,,2763,,,Sainetes,1,1749,,,Joseph de Parra,Thursday
03 Enero 1749,"*El hombre más feo del mundo, Esopo el fabulador",,,,,2663,,,Sainetes,1,1749,,,Joseph de Parra,Friday
