Performance Date,Play 1 Title,Author 1 Name,Play 1 Genre,Play 1 # of Acts,Play 1 Date of Premier,Play 1 Box Office Receipts,Play 2 Title,Author 2 Name,Play 2 Genre,Play 2 # of Acts,Play 2 Date of Premier,Play 2 Box Office Receipts,Play 3,Company Director,Day of the Week,
25 Diciembre 1751,*Los hijos de la fortuna ,,,,,,,Antonio Fernández,Sainetes,1,,,,Manuel Guerrero,Saturday,
31 Enero 1752,"*Don Juan de Espina en Madrid, y Don Juan de Espina en Milán ('por alteración de un día una y otro otra') ",,,,,,,Nicolás Martínez,Sainetes,1,,,,Josef de Parra,Monday,
04 Febrero 1752,(Príncipe) *Pedro Vayalarde (3ª parte),,,,,,,Antonio Fernández,Sainetes,1,,,,Manuel Guerrero,Friday,
26 Abril 1752,(Príncipe) Los juegos olímpicos ,Nicolás Martínez (exornada),,,,,,,,,,,,Josef de Parra,Wednesday,
26 Abril 1752,(Cruz) Los trabajos de Tobías ,,,,,,,,Sainetes,1,,,,Manuel Guerrero,Wednesday,
08 Mayo 1752,*Folla : Aún vive don Juan de Espina,Nicolás Martínez,,,,,,Nicolás Martínez,Sainetes,1,,,,Josef de Parra,Monday,
20 Mayo 1752,(Príncipe) *El riesgo acredita amor ,,Zarzuela,,1752,,,Nicolás Martínez,Sainetes,1,,,,Josef de Parra,Saturday,
20 Mayo 1752,*Viento es la dicha de amor ,,Zarzuela,,,,,Antonio Fernández,Sainetes,1,,,,Manuel Guerrero,Saturday,
09 Junio 1752,(Príncipe) *La cura y la enfermedad,,Auto,,,,,Nicolás Martínez,Sainetes,1,,,,Josef de Parra,Friday,
09 Junio 1752,(Cruz) *La protestación de la fe ,,Auto,,,,,Antonio Fernández,Entremés ,1,,,Sainetes de Antonio Fernández,Manuel Guerrero,Friday,
09 Octubre 1752,Los trabajos de Tobías,,,,,,,,,,,,,Manuel Guerrero,Monday,
09 Octubre 1752,"*El riesgo acredita amor, Damne y Eleusipo ",,Zarzuela,,,,,,,,,,,Josef de Parra,Monday,
28 Enero 1753,(Cruz) *El segundo Augusto César y proféticas sibilas,Nicolás Martínez (exornada),,,,,,Nicolás Martínez,Sainetes,1,,,,Josef de Parra,Sunday,
28 Enero 1753,(Príncipe) *El arca de Noé,Antonio Fernández (exornada),,,,,,Antonio Fernández,Sainetes,1,,,,Manuel Guerrero,Sunday,
19 Febrero 1753,(Cruz) *Las dichas en el precipicio ,,Serenata,,,,,,,,,,,Josef de Parra,Monday,
20 Febrero 1753,(Príncipe) *Folla real : El golfo de las sirenas ,,,,,,,Nicolás Martínez,Entremés,1,,, Fin de fiesta de Antonio Fernández y dos sainetes de 'un ingenio',Manuel Guerrero,Tuesday,
29 Junio 1753,(Príncipe) *El día mayor de los días ,,Auto,,,,,Nicolás Martínez,Sainetes,1,,,,Josef de Parra,Friday,
29 Junio 1753,(Cruz) *El jardín de Falerina (auto),,Auto,,,,,Antonio Fernández,Sainetes,1,,,,Manuel Guerrero,Friday,
18 Octubre 1753,"(Príncipe) El mejor fruto de un sauce, Nuestra Señora de la Salceda",,,,,,,,,,,,,Manuel Guerrero,Thursday,
18 Octubre 1753,(Cruz) *La perla de Inglaterra y peregrina doctora,Nicolás Martínez (exornada),,,,,¿El hostelero?,,,,,,,Josef de Parra,Thursday,
25 Diciembre 1753,(Príncipe) Los trabajos de Tobías,,,,,,,Antonio Fernández,Sainetes,,,,,Manuel Guerrero,Tuesday,
25 Diciembre 1753,(Cruz) Judas Iscariote ,,,,,,,Nicolás Martínez,Sainete,,,,,Josef de Parra,Tuesday,
11 Enero 1754,"(Cruz) *Para restaurar su honor Jorge hechizos el amor, el brujero",,,,,,,,,,,,,Josef de Parra,Friday,
11 Enero 1754,(Príncipe) *Pedro Vayalarde (1ª parte),,,,,,,,,,,,,Manuel Guerrero,Friday,
23 Enero 1754,(Cruz) *Ser fiera para ser astro ,,Zarzuela,,,,,,,,,,,Josef de Parra,Wednesday,
26 Enero 1754,*El mágico de Salerno (2ª parte),,,,,,,,,,,,,Manuel Guerrero,Saturday,
(?) Enero 1754,*Folla : La ventura en el naufragio,,,,,,,,,,,,,Manuel Guerrero,,
15 Febrero 1754,*María la Romarantina,,,,,,,Antonio Fernández,Sainetes,1,,,,Manuel Guerrero,Friday,
16 Febrero 1754,(Cruz) *El anillo de Giges (2ª parte) ,,,,,,,Nicolás Martínez,Sainetes,1,,,,Josef de Parra,Saturday,
01 Junio 1754,El sacrificio de Efigenia,,,,,,,Nicolás Martínez (exornado),Sainetes,1,,,,Josef de Parra,Saturday,
01 Junio 1754,Psiquis y Cupido ,,,,,,Los novios extravagantes,,Entremés ,1,,,Sainetes de Antonio Fernández,María Hidalgo,Saturday,
21 Junio 1754,(Cruz) *La nave del mercader,,Auto,,,,,Nicolás Martínez,Sainetes,1,,,,Josef de Parra,Friday,
21 Junio 1755,(Príncipe) *Lo que va del hombre a Dios ,,Auto,,,,,Antonio Fernández,Sainetes,1,,,,María Hidalgo,Saturday,
22 Noviembre 1754,(Príncipe) El sacrificio de Efigenia,,,,,,,,,,,,,Josef de Parra,Friday,
22 Noviembre 1755,(Cruz) *Duelos de amor y lealtad ,,,,,,,Antonio Fernández,Sainetes,1,,,,María Hidalgo,Saturday,
06 Diciembre 1754,*El diablo predicador ,,,,,,,Antonio Fernández,Sainetes,1,,,,María Hidalgo,Friday,
09 Diciembre 1754,(Príncipe) *El misterio es la corona y encanto de amar y amor,,,,,,,Nicolás Martínez,Sainetes,1,,,,Josef de Parra,Monday,
25 Diciembre 1754,Los trabajos de Job ,,,,,,,Nicolás Martínez,Sainetes,1,,,,Josef de Parra,Wednesday,
25 Diciembre 1754,(Cruz) El Austria en Jerusalén,,,,,,,Antonio Fernández,Sainetes,1,,,,María Hidalgo,Wednesday,
08 Enero 1755,*También por la voz hay dicha,,,,,,,,,,,,,María Hidalgo,Wednesday,
17 Enero 1755,(Cruz) *Folla : Llegar en amor a tiempo ,,,,,,,Antonio Fernández,Sainetes,1,,,Sainete de Antonio Vidaurre,María Hidalgo,Friday,
21 Enero 1755,El monstruo de los jardines ,,,,,,¿El pagador de todo?,,Sainete,1,,,,Josef de Parra,Tuesday,
31 Enero 1755,"(Príncipe) *A falta de hechiceros la suerte ser los gallegos, y asombro de Salamanca (1ª parte)",,,,,,,,Sainetes,1,,,,Josef de Parra,Friday,
01 Febrero 1755,(Cruz) *Pedro Vayalarde (3ª parte),,,,,,,Antonio Vidaurre,Sainetes,1,,,,María Hidalgo,Saturday,
17 Mayo 1755,(Cruz) *Las peñas de Monserrate,,,,,,,Antonio Vidaurre,Sainetes,1,,,,María Hidalgo,Saturday,
17 Mayo 1755,"(Príncipe) *Hombre, demonio y mujer ",,,,,,,Joseph Agramont de (¿y?) Barbadillo,Sainetes,1,,,,Josef de Parra,Saturday,
06 Junio 1755,(Príncipe) *Andrómeda y Perseo,,Auto,,,,El desprecio vengado,,Entremés ,1,,,Fin de fiesta de Nicolás González Martínez,Josef de Parra,Friday,
06 Junio 1755,(Cruz) *El laberinto del mundo,,Auto,,,,,Antonio Vidaurre,Sainetes,1,,,,María Hidalgo,Friday,
30 Mayo 1756,(Cruz) *Las plagas de Faraón ,,,,,,,Nicolás Martínez,Sainetes,1,,,,Josef de Parra,Sunday,
25 Junio 1756,(Cruz) *La divina Filotea (auto) ,,Auto,,,,,Jnº de Agramón,Sainete,1,,,Fin de fiesta: La casa de campo,Josef de Parra,Friday,
25 Junio 1756,(Príncipe) *El pleito matrimonial,,Auto,,,,,,,,,,,María Hidalgo,Friday,
19 Octubre 1756,"(Príncipe) *Ingenio y representante, San Ginés y San Claudio ",,,,,,,,Sainetes,1,,,,Josef de Parra,Tuesday,
14 Enero 1757,*San Franco de Sena,,,,,,,,,,,,,María Hidalgo,Friday,
(?) Febrero 1757,El rico avariento,,,,,,,,,,,,,María Hidalgo,,
(?) Febrero 1757,*El anillo de Giges (1ª parte),Antonio Pablo Fernández (exornada),,,,,,Antonio Pablo Fernández,Entremés ,1,,,Sainetes de Antonio Fernández,María Hidalgo,,
